Program,CatNo,L1,L2,L3,L4
PNC,Cat37,Product/Policy,Product,Product Pricing / Rate Issue,High Interest Rate / Need Better Interest Rate
PNC,Cat38,Technology,Website Issue,Issue with Information on website,Issue with Information on website
PNC,Cat39,Technology,Website Issue,Difficult To Use / Navigate,Difficult To Use / Navigate
PNC,Cat40,Process,Account Management,Access,Account Access Issue
PNC,Cat41,Process,Account Management,Account Locked / Blocked,Account Locked / Blocked
PNC,Cat42,Process,Account Management,Account Transactions,Account Transaction / Balance Issue
PNC,Cat43,Process,Account Management,Activation,Activation Related
PNC,Cat44,Process,Account Management,Cancellation,Account Cancellation Issue
PNC,Cat45,Process,Account Management,Customer Information,Account Details
PNC,Cat46,Process,Account Management,Customer Information,Address Change Related
PNC,Cat47,Process,Account Management,Customer Information,Issue in Updating Address
PNC,Cat48,Process,Account Management,Customer Information,Issue in Updating Phone Number
PNC,Cat49,Process,Account Management,Password Issues,Password Issue
PNC,Cat50,Process,Account Management,Related to Signings,Related to Signing / login Issue
PNC,Cat51,Process,Account Management,Renewal issue,Renewal issue
PNC,Cat52,Process,Account Management,Suspension,Account Suspended
PNC,Cat53,Process,Account Management,Transferring Service,Transferring Service
PNC,Cat54,Process,Billing,Billing - Invoice Related Issue,Billing - Invoice Related Issue
PNC,Cat55,Process,Billing,Charges Issues,Charges Issue
PNC,Cat56,Process,Billing,Double Chargeds,Double Charged
PNC,Cat57,Process,Billing,Duplicate Billings,Duplicate Billing
PNC,Cat58,Process,Billing,Incorrect Feess,Incorrect Fees / Charges
PNC,Cat59,Process,Billing,Invoice issues,Invoice issue
PNC,Cat60,Process,Billing,Late Fees,Late Fees
PNC,Cat61,Process,Billing,Past Dues,Past Due
PNC,Cat62,Process,Credit Reporting,Issue with Credit Reporting,Issue with Credit Reporting
PNC,Cat63,Process,Customer,Customer self resolved issue,Customer self resolved issue
PNC,Cat64,Process,Customer,Incorrect Rating,Incorrect Rating
PNC,Cat65,Process,Customer,Issues for New Customers,Issues for New Customers
PNC,Cat66,Process,Order Issue,Order Cancellation,Order Cancellation
PNC,Cat67,Process,Order Issue,Order Delayed,Order Delayed
PNC,Cat68,Process,Order Issue,Order Related,Order Related
PNC,Cat69,Process,Order Issue,Pending Order,Pending Order
PNC,Cat70,Process,Payment Issue,Auto pay,Auto pay
PNC,Cat71,Process,Payment Issue,Issue in making payment,Issue in making payment
PNC,Cat72,Process,Payment Issue,Lower Monthly Payment,Lower Monthly Payment
PNC,Cat73,Process,Payment Issue,Payment Cancelled,Payment Cancelled
PNC,Cat74,Process,Payment Issue,Payment History / Statement,Payment History / Statement
PNC,Cat75,Process,Payment Issue,Payment Lost - Not Received,Payment Lost - Not Received
PNC,Cat76,Process,Payment Issue,Payment on Hold,Payment on Hold
PNC,Cat77,Product/Policy,Policy,Improve / Change Policy,Improve / Change Policy
PNC,Cat78,Product/Policy,Policy,Issue with Limit,Issue with Limit
PNC,Cat79,Product/Policy,Policy,Many Restrictions,Many Restrictions
PNC,Cat80,Product/Policy,Policy,Not happy with Policy,Not happy with Policy
PNC,Cat81,Product/Policy,Policy,Outsourcing Issues,Outsourcing Issues
PNC,Cat82,Product/Policy,Policy,Policy Violation,Policy Violation
PNC,Cat83,Product/Policy,Policy,Unfair Practices,Unfair Practices
